Complexity,Loss,Equation
1,2.1718838e6,"2529.0867"
3,923558.7,"x1 * 17.48541"
5,235372.98,"x1 / (x0 / 2.710432)"
6,122571.055,"(x1 * log(x0)) / -0.096009575"
7,100230.96,"(x1 / (x0 + 0.071370654)) * 4.3026986"
8,7830.5786,"((x1 / -0.07576142) * log(x0)) - 847.388"
9,6708.8774,"((x1 / (x0 + 0.14641841)) * 7.5856204) - 954.5773"
10,5841.099,"(log(x0) * ((x1 + -7.5045643) / -0.07426191)) + -743.01324"
12,5684.844,"(((log(x0 * x0) / -0.15892631) + 1.6554996) * x1) - 937.031"
