graph_type,family,config_label,strategy_pos,strategy_neg,n_nodes,n_pos,n_neg,degree_heterogeneity,P_plus_win,mean_m,std_m,mean_time_abs_m_gt_03,std_time_abs_m_gt_03,psi_degree_norm_pos_highdeg,psi_wl_pos_highdeg
fully_connected,fully_connected,FC_N200,highest_degree,random,200,20,20,0.0,0.5333333333333333,-0.000904444444444448,0.045227971380607246,5881.133333333333,4490.575796148238,0.1,1.0
erdos_renyi,erdos_renyi,ER_p0008,highest_degree,random,500,20,20,0.4555077932270358,1.0,0.255957288888889,0.06668794949151467,10862.933333333332,6116.305379494887,0.08092485549132948,0.04024144869215292
erdos_renyi,erdos_renyi,ER_p0015,highest_degree,random,500,20,20,0.3491138479803296,1.0,0.22432694444444462,0.0843241580734272,8449.785714285714,5571.521476754268,0.07051282051282051,0.04
erdos_renyi,erdos_renyi,ER_p003,highest_degree,random,500,20,20,0.2652754599388805,1.0,0.20381700000000016,0.07936801484945222,12193.666666666666,7726.111493469649,0.06410944206008584,0.04
barabasi_albert,barabasi_albert,BA_m2,highest_degree,random,500,20,20,1.1756998103391647,1.0,0.7250807111111117,0.02851406362799272,902.0,335.92856383463436,0.23343373493975902,0.04048582995951417
barabasi_albert,barabasi_albert,BA_m3,highest_degree,random,500,20,20,0.991039350710412,1.0,0.6503909666666671,0.04298650967455716,1468.6,509.8006333011815,0.19081153588195843,0.04
barabasi_albert,barabasi_albert,BA_m5,highest_degree,random,500,20,20,0.9310808448458234,1.0,0.6387081333333336,0.03130900174509887,1456.1333333333334,574.4652005706408,0.18484848484848485,0.04
