graph,rho_c_estimate,rho_var_peak,var_peak,rho_xi_peak,xi_peak,xi_min,xi_max
erdos,0.0,0.0,0.020418988138642125,0.35,1.645807588147691,-0.8514711824785581,1.645807588147691
barabasi,0.0,0.0,0.044416591670299384,0.1,1.5126027905771477,-0.8514711824785581,1.5126027905771477
grid,0.025,0.05,0.023324005185571428,0.25,1.9442215383320625,-0.8514711824785581,1.9442215383320625
