graph_type,graph_param_n,graph_param_p,graph_param_m,graph_param_L,n_pos,n_neg,rho_pos,rho_neg,T,burn_in,n_runs,seed,strategy_pos,strategy_neg,threshold,wl_n_iter,strategy_kwargs_pos,strategy_kwargs_neg,graph_n_nodes,graph_n_edges,graph_density,graph_average_degree,graph_degree_variance,graph_degree_skewness,graph_degree_moment_1,graph_degree_moment_2,graph_clustering_coefficient,graph_average_shortest_path_length,graph_largest_component_size,graph_largest_component_fraction,graph_is_connected,graph_degree_assortativity,graph_laplacian_lambda2,n_positive_wins,positive_win_probability,mean_mean_magnetization,std_mean_magnetization,mean_var_magnetization,std_var_magnetization,mean_mean_positive_fraction,std_mean_positive_fraction,mean_mean_negative_fraction,std_mean_negative_fraction,mean_time_to_first_sign_change,std_time_to_first_sign_change,mean_time_to_first_crossing_above_threshold,std_time_to_first_crossing_above_threshold,mean_fraction_time_above_threshold,std_fraction_time_above_threshold,mean_fraction_time_below_threshold,std_fraction_time_below_threshold,mean_stabilization_time,std_stabilization_time,mean_delta_psi_centrality,std_delta_psi_centrality,mean_delta_psi_degree,std_delta_psi_degree,mean_delta_psi_degree_norm,std_delta_psi_degree_norm,mean_delta_psi_dispersion,std_delta_psi_dispersion,mean_delta_psi_hybrid,std_delta_psi_hybrid,mean_delta_psi_rho,std_delta_psi_rho,mean_delta_psi_size,std_delta_psi_size,mean_delta_psi_wl,std_delta_psi_wl,mean_neg_psi_centrality,std_neg_psi_centrality,mean_neg_psi_degree,std_neg_psi_degree,mean_neg_psi_degree_norm,std_neg_psi_degree_norm,mean_neg_psi_dispersion,std_neg_psi_dispersion,mean_neg_psi_hybrid,std_neg_psi_hybrid,mean_neg_psi_rho,std_neg_psi_rho,mean_neg_psi_size,std_neg_psi_size,mean_neg_psi_wl,std_neg_psi_wl,mean_pos_psi_centrality,std_pos_psi_centrality,mean_pos_psi_degree,std_pos_psi_degree,mean_pos_psi_degree_norm,std_pos_psi_degree_norm,mean_pos_psi_dispersion,std_pos_psi_dispersion,mean_pos_psi_hybrid,std_pos_psi_hybrid,mean_pos_psi_rho,std_pos_psi_rho,mean_pos_psi_size,std_pos_psi_size,mean_pos_psi_wl,std_pos_psi_wl,mean_diff_degree_sum,std_diff_degree_sum,mean_diff_pagerank_sum,std_diff_pagerank_sum,mean_diff_dispersion_score,std_diff_dispersion_score,mean_distance_advantage_pos,std_distance_advantage_pos,mean_wl_overlap_fraction_union,std_wl_overlap_fraction_union,mean_diff_wl_coverage_fraction,std_diff_wl_coverage_fraction,target_mean_m,target_positive_win_probability,target_threshold_crossing_time,target_stabilization_time
barabasi_albert,600,0.01,3,32,15,20,0.025,0.03333333333333333,25000,5000,10,191664963,random,random,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605121224,3,0.3,-0.08572375000000002,0.1417306339403855,0.025561598292952802,0.017398604819567006,0.45713812500000106,0.07086531697019277,0.5428618749999989,0.07086531697019277,356.7,392.1470954175798,113.7,211.61130509602847,0.34068,0.32103013807983133,0.65932,0.32103013807983133,nan,nan,-0.008010434415123233,0.006059581519025932,-28.3,25.377373999512066,-0.007900614182021218,0.007084694025547757,-0.0015228413892678315,0.011965329541035692,-0.007160307838764268,0.0012879663787301622,-0.008333333333333331,0.0,-5.0,0.0,-0.008333333333333331,0.0,0.03155977503980201,0.0030942377194480676,112.0,12.866839377079188,0.031267448352875496,0.0035920824614961446,0.5009745141316547,0.00797419921189692,0.1027564507099213,0.0011245569871972047,0.03333333333333333,0.0,20.0,0.0,0.03333333333333333,0.0,0.023549340624678776,0.004217826618385794,83.7,17.58819048237892,0.02336683417085427,0.004910159263645706,0.49945167274238694,0.010138225429086637,0.09559614287115703,0.0017557125865542396,0.025,0.0,15.0,0.0,0.025,0.0,-28.3,25.377373999512066,-0.008010434415123233,0.006059581519025932,-0.005800441124900413,0.04801141094513228,-0.1295575221238938,0.11012649247681451,0.0,0.0,-0.008333333333333331,0.0,-0.08572375000000002,0.3,113.7,nan
barabasi_albert,600,0.01,3,32,15,20,0.025,0.03333333333333333,25000,5000,10,1662057957,random,highest_degree,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605121082,0,0.0,-0.7097659666666658,0.05804326425536773,0.002566101866633281,0.001955113034480036,0.14511701666666837,0.029021632127684244,0.8548829833333317,0.029021632127684254,113.6,110.39384040787783,21.0,43.06390600026895,0.0,0.0,1.0,0.0,nan,nan,-0.14528003603861864,0.011720016115563763,-607.6,49.51139038421137,-0.1696259073143495,0.013822275372476654,0.14041331647739844,0.012826934690734338,-0.04247373675507924,0.0033927995198111184,-0.008333333333333331,0.0,-5.0,0.0,-0.008333333333333331,0.0,0.1710169003781538,0.00507916808535658,700.5,21.691011963483863,0.19556113902847572,0.00605555889544497,0.35796615924728137,0.004597940466939975,0.1388079892137254,0.0014447543579536961,0.03333333333333333,0.0,20.0,0.0,0.03333333333333333,0.0,0.025736864339535197,0.006892224657805081,92.9,28.784447961433003,0.02593523171412619,0.008035859285715522,0.49837947572467983,0.009600157449820207,0.09633425245864614,0.002054805195364153,0.025,0.0,15.0,0.0,0.025,0.0,-607.6,49.51139038421137,-0.14528003603861864,0.011720016115563763,0.4365788483612395,0.04588861887811971,-0.7789380530973451,0.10394687569951706,0.0,0.0,-0.008333333333333331,0.0,-0.7097659666666658,0.0,21.0,nan
barabasi_albert,600,0.01,3,32,15,20,0.025,0.03333333333333333,25000,5000,10,1405681631,highest_degree,random,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605121526,10,1.0,0.6680637166666662,0.04609705552968039,0.0037477802978638152,0.0019238812192851574,0.8340318583333408,0.023048527764840853,0.16596814166665924,0.023048527764840846,92.44444444444444,89.85976729202996,78.8,90.20692262176384,1.0,0.0,0.0,0.0,nan,nan,0.1191606448011844,0.002910410355027235,507.9,12.114729327007957,0.14179229480737016,0.003382113156618637,-0.15710754412034328,0.00773760280704082,0.021894504897861402,0.0011108842460484719,-0.008333333333333331,0.0,-5.0,0.0,-0.008333333333333331,0.0,0.029704670847004705,0.0029104103550272346,104.1,12.114729327007957,0.029061976549413733,0.0033821131566186377,0.5019390785902974,0.007737602807040821,0.1021292202475061,0.0011108842460484719,0.03333333333333333,0.0,20.0,0.0,0.03333333333333333,0.0,0.1488653156481891,0.0,612.0,0.0,0.17085427135678394,2.925694557147251e-17,0.3448315344699542,0.0,0.1240237251453675,0.0,0.025,0.0,15.0,0.0,0.025,0.0,507.9,12.114729327007957,0.1191606448011844,0.002910410355027235,-0.48189575118664896,0.031060936510684742,0.6998230088495575,0.05937460312993215,0.0,0.0,-0.008333333333333331,0.0,0.6680637166666662,1.0,78.8,nan
barabasi_albert,600,0.01,3,32,15,20,0.025,0.03333333333333333,25000,5000,10,942484272,highest_degree,highest_degree,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605121137,10,1.0,0.28153741666666665,0.024813010160598066,0.004392195146308364,0.0024561055558289216,0.6407687083333364,0.012406505080299291,0.3592312916666636,0.012406505080299274,265.1666666666667,198.62871561450189,157.6,201.37924421349882,1.0,0.0,0.0,0.0,nan,nan,0.06679591073034397,0.0,291.0,0.0,0.08123953098827472,1.4628472785736255e-17,-0.07699007297915732,1.4628472785736255e-17,0.012718658232355892,0.0,-0.008333333333333331,0.0,-5.0,0.0,-0.008333333333333331,0.0,0.08206940491784516,1.4628472785736255e-17,321.0,0.0,0.08961474036850922,1.4628472785736255e-17,0.42182160744911157,5.851389114294502e-17,0.1113050669130116,0.0,0.03333333333333333,0.0,20.0,0.0,0.03333333333333333,0.0,0.1488653156481891,0.0,612.0,0.0,0.17085427135678394,2.925694557147251e-17,0.3448315344699542,0.0,0.1240237251453675,0.0,0.025,0.0,15.0,0.0,0.025,0.0,291.0,0.0,0.06679591073034397,0.0,-0.20324500828147163,0.0,0.26371681415929205,0.0,0.0,0.0,-0.008333333333333331,0.0,0.28153741666666665,1.0,157.6,nan
barabasi_albert,600,0.01,3,32,15,20,0.025,0.03333333333333333,25000,5000,10,929893137,highest_eigenvector,random,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605121261,10,1.0,0.661739633333333,0.04320558227413298,0.0043879132368499175,0.002444400929716193,0.830869816666674,0.021602791137067333,0.16913018333332594,0.021602791137067336,178.8,157.7028851987179,87.9,139.86934379388978,1.0,0.0,0.0,0.0,nan,nan,0.11780067461399513,0.002258144275357382,503.9,9.492101980067428,0.14067560022333891,0.0026499447180534405,-0.16325157184903336,0.015166111439007621,0.020582057634146937,0.00195611531959909,-0.008333333333333331,0.0,-5.0,0.0,-0.008333333333333331,0.0,0.028805003657174,0.0022581442753573807,100.1,9.492101980067428,0.027945281965382467,0.0026499447180534414,0.5043170054741531,0.015166111439007621,0.1020950661756735,0.00195611531959909,0.03333333333333333,0.0,20.0,0.0,0.03333333333333333,0.0,0.14660567827116913,0.0,604.0,0.0,0.16862088218872137,0.0,0.34106543362511976,0.0,0.12267712380982046,2.925694557147251e-17,0.025,0.0,15.0,0.0,0.025,0.0,503.9,9.492101980067428,0.11780067461399513,0.002258144275357382,-0.5015468498789237,0.06287480387027002,0.7005309734513274,0.055405737724068316,0.0,0.0,-0.008333333333333331,0.0,0.661739633333333,1.0,87.9,nan
barabasi_albert,600,0.01,3,32,15,20,0.025,0.03333333333333333,25000,5000,10,1843824992,highest_eigenvector,highest_degree,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605121197,10,1.0,0.26301968333333325,0.042313362981075145,0.005294783950030578,0.0030654984710345424,0.6315098416666695,0.02115668149053798,0.36849015833333054,0.02115668149053798,332.1111111111111,359.11782343836836,252.4,367.3624307894801,0.9987199999999999,0.004047715405015536,0.00128,0.004047715405015525,nan,nan,0.062276635976303965,0.0,275.0,0.0,0.07677275265214964,1.4628472785736255e-17,-0.08236328983289005,1.4628472785736255e-17,0.010349303286652206,0.0,-0.008333333333333331,0.0,-5.0,0.0,-0.008333333333333331,0.0,0.08432904229486517,0.0,329.0,0.0,0.09184812953657175,0.0,0.42342872345800975,5.851389114294502e-17,0.11232782052316821,1.4628472785736255e-17,0.03333333333333333,0.0,20.0,0.0,0.03333333333333333,0.0,0.14660567827116913,0.0,604.0,0.0,0.16862088218872137,0.0,0.34106543362511976,0.0,0.12267712380982046,2.925694557147251e-17,0.025,0.0,15.0,0.0,0.025,0.0,275.0,0.0,0.062276635976303965,0.0,-0.21678957396890408,0.0,0.2230088495575222,0.0,0.0,0.0,-0.008333333333333331,0.0,0.26301968333333325,1.0,252.4,nan
barabasi_albert,600,0.01,3,32,15,20,0.025,0.03333333333333333,25000,5000,10,184566854,farthest_spread,random,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605120828,8,0.8,0.16311305000000012,0.20819506498545215,0.011570773288275039,0.009407752107878479,0.5815565250000023,0.10409753249272732,0.41844347499999773,0.10409753249272734,3748.25,6595.955010459062,241.1,416.3143710653712,0.754155,0.3622793623174126,0.245845,0.3622793623174126,nan,nan,0.011008370117036906,0.005188889170238861,48.2,21.038588883815905,0.013456169737576771,0.005873419565554412,0.027435242891960736,0.009327602100519687,0.004658279175279306,0.0025079070716643556,-0.008333333333333331,0.0,-5.0,0.0,-0.008333333333333331,0.0,0.030263469607897726,0.005188889170238861,106.8,21.038588883815905,0.02981574539363484,0.005873419565554412,0.4981588512303737,0.009327602100519687,0.1018260052389949,0.0025079070716643556,0.03333333333333333,0.0,20.0,0.0,0.03333333333333333,0.0,0.04127183972493463,0.0,155.0,0.0,0.043271915131211605,7.314236392868128e-18,0.5255940941223345,1.1702778228589004e-16,0.1064842844142742,1.4628472785736255e-17,0.025,0.0,15.0,0.0,0.025,0.0,48.2,21.038588883815905,0.011008370117036906,0.005188889170238861,0.11462375674127132,0.036671840001706583,0.23097345132743366,0.0821490230430658,0.0,0.0,-0.008333333333333331,0.0,0.16311305000000012,0.8,241.1,nan
barabasi_albert,600,0.01,3,32,15,20,0.025,0.03333333333333333,25000,5000,10,1497586438,farthest_spread,highest_degree,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605121217,0,0.0,-0.5631532833333338,0.028262985526054687,0.00433418081068049,0.002464636430871892,0.21842335833333548,0.014131492763027545,0.7815766416666645,0.014131492763027529,6.333333333333333,3.511884584284246,4.0,5.196152422706632,0.0,0.0,1.0,0.0,nan,nan,-0.12021496838721726,1.4628472785736255e-17,-505.0,0.0,-0.14098269123394752,0.0,0.16169172224829959,0.0,-0.02925685026130337,0.0,-0.008333333333333331,0.0,-5.0,0.0,-0.008333333333333331,0.0,0.16148680811215188,0.0,660.0,0.0,0.18425460636515914,0.0,0.36390237187403474,5.851389114294502e-17,0.1357411346755776,2.925694557147251e-17,0.03333333333333333,0.0,20.0,0.0,0.03333333333333333,0.0,0.04127183972493463,0.0,155.0,0.0,0.043271915131211605,7.314236392868128e-18,0.5255940941223345,1.1702778228589004e-16,0.1064842844142742,1.4628472785736255e-17,0.025,0.0,15.0,0.0,0.025,0.0,-505.0,0.0,-0.12021496838721726,1.4628472785736255e-17,0.535813835838428,0.0,-0.49557522123893794,0.0,0.0,0.0,-0.008333333333333331,0.0,-0.5631532833333338,0.0,4.0,nan
barabasi_albert,600,0.01,3,32,15,25,0.025,0.041666666666666664,25000,5000,10,432652533,random,random,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605121155,2,0.2,-0.2055712333333335,0.24623915891150572,0.020890513093622238,0.017592868048958578,0.3972143833333347,0.12311957945575255,0.6027856166666654,0.12311957945575255,1055.0,1573.7558048608855,916.7,1608.8195845263558,0.22619000000000003,0.33020607605958235,0.77381,0.33020607605958235,nan,nan,-0.016333085108107714,0.007263294509535959,-58.7,30.014996251873832,-0.01638749302065885,0.008379395938546575,0.0001603549021906514,0.01671456232065146,-0.014044902655235336,0.0022740366897314917,-0.016666666666666663,0.0,-10.0,0.0,-0.016666666666666663,0.0,0.042126280729950345,0.007202876975570108,151.3,29.604992071533403,0.04223897264098269,0.008264933576642493,0.49657089907123575,0.010340945943288854,0.11010260861836266,0.0019028697612993987,0.04166666666666667,7.314236392868128e-18,25.0,0.0,0.04166666666666667,7.314236392868128e-18,0.025793195621842624,0.005095827923702862,92.6,21.16181046655088,0.02585147962032384,0.005907819784073388,0.4967312539734265,0.01253687949409313,0.09605770596312731,0.001309835005807735,0.025,0.0,15.0,0.0,0.025,0.0,-58.7,30.014996251873832,-0.016333085108107714,0.007263294509535959,0.0009741374079153431,0.06459697187224551,-0.18607142857142855,0.056986392933680484,0.0,0.0,-0.016666666666666663,0.0,-0.2055712333333335,0.2,916.7,nan
barabasi_albert,600,0.01,3,32,15,25,0.025,0.041666666666666664,25000,5000,10,202244314,random,highest_degree,0.0,3,{},{},600.0,1791.0,0.009966611018363939,5.97,47.26243333333334,5.890780153505518,5.97,82.90333333333334,0.04615614630320318,3.275180856983862,600.0,1.0,1.0,-0.09168534849309665,1.2360178605121326,0,0.0,-0.7592989333333319,0.03364391513694494,0.0023967422268055066,0.0015576222940113112,0.12035053333333505,0.016821957568472604,0.879649466666665,0.01682195756847257,27.666666666666668,26.63331247391757,1.75,1.5,0.0,0.0,1.0,0.0,nan,nan,-0.1680017618409565,0.008313700813975438,-695.2,35.996296105756954,-0.19408151870463428,0.010049217226621146,0.1263776041931012,0.012368397591560377,-0.05730522425099016,0.0025947330736849033,-0.016666666666666663,0.0,-10.0,0.0,-0.016666666666666663,0.0,0.19259185634812254,0.0036803330394997173,783.4,15.994443479603229,0.21870463428252376,0.00446522710206678,0.37613148332830526,0.002106512733225224,0.15379967783146242,0.0012913729474587363,0.04166666666666667,7.314236392868128e-18,25.0,0.0,0.04166666666666667,7.314236392868128e-18,0.02459009450716606,0.004794864239046874,88.2,20.627920668625595,0.02462311557788945,0.005758771822620211,0.5025090875214063,0.011591063367462504,0.09649445358047228,0.001621350734207742,0.025,0.0,15.0,0.0,0.025,0.0,-695.2,35.996296105756954,-0.1680017618409565,0.008313700813975438,0.40814903455222884,0.048654823973807416,-0.8564285714285713,0.08913956292244497,0.0,0.0,-0.016666666666666663,0.0,-0.7592989333333319,0.0,1.75,nan
