Complexity,Loss,Equation
1,325001.53,"1642.3425"
3,30254.998,"256.8 / x0"
4,19724.959,"log(x0) * -981.9531"
5,125.652,"(201.20775 / x0) + 412.73022"
7,119.27737,"(208.03911 / (x0 + 0.0032446128)) + 403.24915"
8,0.93677443,"((184.45132 / x0) + 830.78796) / exp(x0)"
9,0.0,"(187.50008 / x0) + ((x0 * -494.99792) + 595.49915)"
