graph_type,graph_param_n,graph_param_graph_instance_seed,n_pos,n_neg,rho_pos,rho_neg,T,burn_in,n_runs,seed,strategy_pos,strategy_neg,threshold,wl_n_iter,strategy_kwargs_pos,strategy_kwargs_neg,graph_n_nodes,graph_n_edges,graph_density,graph_average_degree,graph_degree_variance,graph_degree_skewness,graph_degree_moment_1,graph_degree_moment_2,graph_clustering_coefficient,graph_average_shortest_path_length,graph_largest_component_size,graph_largest_component_fraction,graph_is_connected,graph_degree_assortativity,graph_laplacian_lambda2,n_positive_wins,positive_win_probability,mean_mean_magnetization,std_mean_magnetization,mean_var_magnetization,std_var_magnetization,mean_mean_positive_fraction,std_mean_positive_fraction,mean_mean_negative_fraction,std_mean_negative_fraction,mean_time_to_first_sign_change,std_time_to_first_sign_change,mean_time_to_first_crossing_above_threshold,std_time_to_first_crossing_above_threshold,mean_fraction_time_above_threshold,std_fraction_time_above_threshold,mean_fraction_time_below_threshold,std_fraction_time_below_threshold,mean_stabilization_time,std_stabilization_time,mean_delta_psi_centrality,std_delta_psi_centrality,mean_delta_psi_degree,std_delta_psi_degree,mean_delta_psi_degree_norm,std_delta_psi_degree_norm,mean_delta_psi_dispersion,std_delta_psi_dispersion,mean_delta_psi_hybrid,std_delta_psi_hybrid,mean_delta_psi_rho,std_delta_psi_rho,mean_delta_psi_size,std_delta_psi_size,mean_delta_psi_wl,std_delta_psi_wl,mean_neg_psi_centrality,std_neg_psi_centrality,mean_neg_psi_degree,std_neg_psi_degree,mean_neg_psi_degree_norm,std_neg_psi_degree_norm,mean_neg_psi_dispersion,std_neg_psi_dispersion,mean_neg_psi_hybrid,std_neg_psi_hybrid,mean_neg_psi_rho,std_neg_psi_rho,mean_neg_psi_size,std_neg_psi_size,mean_neg_psi_wl,std_neg_psi_wl,mean_pos_psi_centrality,std_pos_psi_centrality,mean_pos_psi_degree,std_pos_psi_degree,mean_pos_psi_degree_norm,std_pos_psi_degree_norm,mean_pos_psi_dispersion,std_pos_psi_dispersion,mean_pos_psi_hybrid,std_pos_psi_hybrid,mean_pos_psi_rho,std_pos_psi_rho,mean_pos_psi_size,std_pos_psi_size,mean_pos_psi_wl,std_pos_psi_wl,mean_diff_degree_sum,std_diff_degree_sum,mean_diff_pagerank_sum,std_diff_pagerank_sum,mean_diff_dispersion_score,std_diff_dispersion_score,mean_distance_advantage_pos,std_distance_advantage_pos,mean_wl_overlap_fraction_union,std_wl_overlap_fraction_union,mean_diff_wl_coverage_fraction,std_diff_wl_coverage_fraction,target_mean_m,target_positive_win_probability,target_threshold_crossing_time,target_stabilization_time,graph_param_p
fully_connected,80,191664963,4,4,0.05,0.05,2500,500,2,1662057957,random,random,0.0,3,{},{},80.0,3160.0,1.0,79.0,0.0,nan,79.0,6241.0,1.0,1.0,80.0,1.0,1.0,nan,79.99999999999996,1,0.5,-0.01691874999999994,0.21783308277928087,0.09812109867187506,0.06683927014893998,0.49154062499999973,0.10891654138964028,0.5084593750000004,0.10891654138964021,22.5,2.1213203435596424,22.5,2.1213203435596424,0.38175,0.20612162671587858,0.61825,0.20612162671587864,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000086,0.0,316.0,0.0,0.05,0.0,0.5,0.0,0.26,0.0,0.05,0.0,4.0,0.0,1.0,0.0,0.050000000000000086,0.0,316.0,0.0,0.05,0.0,0.5,0.0,0.26,0.0,0.05,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01691874999999994,0.5,22.5,nan,
fully_connected,80,191664963,4,4,0.05,0.05,2500,500,2,1405681631,highest_degree,random,0.0,3,{},{},80.0,3160.0,1.0,79.0,0.0,nan,79.0,6241.0,1.0,1.0,80.0,1.0,1.0,nan,79.99999999999996,1,0.5,-0.018300000000000004,0.07392801397305354,0.026606184374999998,0.01803986376512306,0.4908499999999999,0.036964006986526944,0.50915,0.0369640069865269,314.5,439.11331111684603,2.5,2.1213203435596424,0.47675,0.24006275221283285,0.52325,0.24006275221283285,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000086,0.0,316.0,0.0,0.05,0.0,0.5,0.0,0.26,0.0,0.05,0.0,4.0,0.0,1.0,0.0,0.050000000000000086,0.0,316.0,0.0,0.05,0.0,0.5,0.0,0.26,0.0,0.05,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.018300000000000004,0.5,2.5,nan,
fully_connected,80,191664963,4,8,0.05,0.1,2500,500,2,942484272,random,random,0.0,3,{},{},80.0,3160.0,1.0,79.0,0.0,nan,79.0,6241.0,1.0,1.0,80.0,1.0,1.0,nan,79.99999999999993,0,0.0,-0.31740625000000006,0.08578089139269315,0.03792143554687503,0.013843208994120186,0.34129687499999994,0.042890445696346466,0.6587031250000002,0.04289044569634634,497.0,571.3422791987304,494.5,567.8067452927977,0.08925,0.12621856044179872,0.91075,0.12621856044179872,nan,nan,-0.050000000000000086,0.0,-316.0,0.0,-0.05,0.0,0.0,0.0,-0.034999999999999976,0.0,-0.05,0.0,-4.0,0.0,0.0,0.0,0.10000000000000017,0.0,632.0,0.0,0.1,0.0,0.5,0.0,0.295,0.0,0.1,0.0,8.0,0.0,1.0,0.0,0.050000000000000086,0.0,316.0,0.0,0.05,0.0,0.5,0.0,0.26,0.0,0.05,0.0,4.0,0.0,1.0,0.0,-316.0,0.0,-0.050000000000000086,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.31740625000000006,0.0,494.5,nan,
fully_connected,80,191664963,4,8,0.05,0.1,2500,500,2,929893137,highest_degree,random,0.0,3,{},{},80.0,3160.0,1.0,79.0,0.0,nan,79.0,6241.0,1.0,1.0,80.0,1.0,1.0,nan,79.99999999999996,0,0.0,-0.1918,0.10405076285160052,0.029810104375000014,0.00934672128148691,0.4040999999999998,0.052025381425800314,0.5959000000000002,0.052025381425800196,222.5,255.26554800834364,222.0,254.55844122715712,0.1935,0.08555992052357225,0.8065,0.08555992052357225,nan,nan,-0.050000000000000086,0.0,-316.0,0.0,-0.05,0.0,0.0,0.0,-0.034999999999999976,0.0,-0.05,0.0,-4.0,0.0,0.0,0.0,0.10000000000000017,0.0,632.0,0.0,0.1,0.0,0.5,0.0,0.295,0.0,0.1,0.0,8.0,0.0,1.0,0.0,0.050000000000000086,0.0,316.0,0.0,0.05,0.0,0.5,0.0,0.26,0.0,0.05,0.0,4.0,0.0,1.0,0.0,-316.0,0.0,-0.050000000000000086,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1918,0.0,222.0,nan,
fully_connected,80,191664963,6,4,0.075,0.05,2500,500,2,1843824992,random,random,0.0,3,{},{},80.0,3160.0,1.0,79.0,0.0,nan,79.0,6241.0,1.0,1.0,80.0,1.0,1.0,nan,79.99999999999994,2,1.0,0.17583749999999998,0.09788125618574785,0.03911424093750002,0.011372937972685659,0.5879187499999997,0.048940628092873854,0.4120812500000003,0.04894062809287389,232.5,282.13560569343247,17.0,22.627416997969522,0.793,0.18384776310850237,0.20700000000000002,0.18384776310850237,nan,nan,0.02500000000000005,0.0,158.0,0.0,0.024999999999999994,0.0,0.0,0.0,0.01749999999999996,0.0,0.024999999999999994,0.0,2.0,0.0,0.0,0.0,0.050000000000000086,0.0,316.0,0.0,0.05,0.0,0.5,0.0,0.26,0.0,0.05,0.0,4.0,0.0,1.0,0.0,0.07500000000000014,0.0,474.0,0.0,0.075,0.0,0.5,0.0,0.27749999999999997,0.0,0.075,0.0,6.0,0.0,1.0,0.0,158.0,0.0,0.02500000000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17583749999999998,1.0,17.0,nan,
fully_connected,80,191664963,6,4,0.075,0.05,2500,500,2,184566854,highest_degree,random,0.0,3,{},{},80.0,3160.0,1.0,79.0,0.0,nan,79.0,6241.0,1.0,1.0,80.0,1.0,1.0,nan,79.99999999999994,2,1.0,0.28456250000000005,0.1984141628009453,0.019555406093750012,0.00954521676156767,0.6422812499999997,0.09920708140047213,0.3577187500000003,0.099207081400472,351.0,435.57777721091327,1.0,0.0,0.89925,0.14248201640908933,0.10075,0.14248201640908933,nan,nan,0.02500000000000005,0.0,158.0,0.0,0.024999999999999994,0.0,0.0,0.0,0.01749999999999996,0.0,0.024999999999999994,0.0,2.0,0.0,0.0,0.0,0.050000000000000086,0.0,316.0,0.0,0.05,0.0,0.5,0.0,0.26,0.0,0.05,0.0,4.0,0.0,1.0,0.0,0.07500000000000014,0.0,474.0,0.0,0.075,0.0,0.5,0.0,0.27749999999999997,0.0,0.075,0.0,6.0,0.0,1.0,0.0,158.0,0.0,0.02500000000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28456250000000005,1.0,1.0,nan,
fully_connected,80,191664963,6,8,0.075,0.1,2500,500,2,1497586438,random,random,0.0,3,{},{},80.0,3160.0,1.0,79.0,0.0,nan,79.0,6241.0,1.0,1.0,80.0,1.0,1.0,nan,79.99999999999993,0,0.0,-0.22153750000000005,0.1887798329072786,0.040777223437500024,0.01475109465786359,0.38923124999999986,0.09438991645363932,0.6107687500000002,0.09438991645363941,92.0,73.53910524340094,20.5,27.577164466275352,0.23525000000000001,0.294509974364197,0.76475,0.294509974364197,nan,nan,-0.025000000000000036,0.0,-158.0,0.0,-0.02500000000000001,0.0,0.0,0.0,-0.017500000000000016,0.0,-0.02500000000000001,0.0,-2.0,0.0,0.0,0.0,0.10000000000000017,0.0,632.0,0.0,0.1,0.0,0.5,0.0,0.295,0.0,0.1,0.0,8.0,0.0,1.0,0.0,0.07500000000000014,0.0,474.0,0.0,0.075,0.0,0.5,0.0,0.27749999999999997,0.0,0.075,0.0,6.0,0.0,1.0,0.0,-158.0,0.0,-0.025000000000000036,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.22153750000000005,0.0,20.5,nan,
fully_connected,80,191664963,6,8,0.075,0.1,2500,500,2,432652533,highest_degree,random,0.0,3,{},{},80.0,3160.0,1.0,79.0,0.0,nan,79.0,6241.0,1.0,1.0,80.0,1.0,1.0,nan,79.99999999999994,1,0.5,-0.0147625,0.047570608704324994,0.0366471496875,0.011566909737133774,0.4926187499999999,0.023785304352162365,0.5073812500000001,0.023785304352162324,16.0,11.313708498984761,3.0,2.8284271247461903,0.46975,0.04419417382415922,0.53025,0.04419417382415922,nan,nan,-0.025000000000000036,0.0,-158.0,0.0,-0.02500000000000001,0.0,0.0,0.0,-0.017500000000000016,0.0,-0.02500000000000001,0.0,-2.0,0.0,0.0,0.0,0.10000000000000017,0.0,632.0,0.0,0.1,0.0,0.5,0.0,0.295,0.0,0.1,0.0,8.0,0.0,1.0,0.0,0.07500000000000014,0.0,474.0,0.0,0.075,0.0,0.5,0.0,0.27749999999999997,0.0,0.075,0.0,6.0,0.0,1.0,0.0,-158.0,0.0,-0.025000000000000036,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0147625,0.5,3.0,nan,
erdos_renyi,80,202244314,4,4,0.05,0.05,2500,500,2,1130604997,random,random,0.0,3,{},{},80.0,276.0,0.08734177215189873,6.9,5.390000000000001,-0.16346627309530443,6.9,53.0,0.09866522366522366,2.4863924050632913,80.0,1.0,1.0,0.021745996467300275,0.6711290711793867,1,0.5,0.04896875000000003,0.3413646374525706,0.03917199742187503,0.035394060337150625,0.5244843749999997,0.1706823187262851,0.47551562500000033,0.17068231872628511,96.0,106.06601717798213,11.0,14.142135623730951,0.40525,0.4847216985033783,0.59475,0.4847216985033783,nan,nan,-0.00032228574904114016,0.002700244825652462,0.0,1.4142135623730951,-3.469446951953614e-18,0.0025619810912556034,0.01916455933049427,0.09567419359610435,0.0028746838995741403,0.01524782242135513,0.0,0.0,0.0,0.0,0.0,0.0,0.049116229311745786,0.0023808034426421043,27.0,1.4142135623730951,0.04891304347826087,0.0025619810912556086,0.4892006959821532,0.061388486659096596,0.11549966961471428,0.008311579616925033,0.05,0.0,4.0,0.0,0.05,0.0,0.048793943562704646,0.005081048268294567,27.0,2.8284271247461903,0.048913043478260865,0.005123962182511212,0.5083652553126474,0.03428570693700776,0.11837435351428842,0.0069362428044300985,0.05,0.0,4.0,0.0,0.05,0.0,0.0,1.4142135623730951,-0.00032228574904114016,0.002700244825652462,0.06703152178524463,0.3791875488608018,-1.1102230246251565e-16,0.2553441154284754,0.0,0.0,0.0,0.0,0.04896875000000003,0.5,11.0,nan,0.08
erdos_renyi,80,202244314,4,4,0.05,0.05,2500,500,2,2095133045,highest_degree,random,0.0,3,{},{},80.0,276.0,0.08734177215189873,6.9,5.390000000000001,-0.16346627309530443,6.9,53.0,0.09866522366522366,2.4863924050632913,80.0,1.0,1.0,0.021745996467300275,0.6711290711793906,0,0.0,-0.059293749999999985,0.05979471718408743,0.038788578359375006,0.012862002212895797,0.4703531249999999,0.029897358592043472,0.5296468750000001,0.02989735859204351,253.5,210.0107140124046,1.0,0.0,0.35125,0.10641957056857537,0.6487499999999999,0.10641957056857537,nan,nan,0.015943501988340228,0.00020004629297134884,11.0,0.0,0.019927536231884063,0.0,-0.07357193553105057,0.013065996286188987,-0.0040611526484981425,0.0019598994429283483,0.0,0.0,0.0,0.0,0.0,0.0,0.06256274834417792,0.00020004629297134884,36.0,0.0,0.06521739130434782,0.0,0.47488254486279213,0.013065996286188987,0.11905846868594054,0.0019598994429283483,0.05,0.0,4.0,0.0,0.05,0.0,0.07850625033251815,0.0,47.0,0.0,0.08514492753623189,0.0,0.40131060933174156,0.0,0.1149973160374424,0.0,0.05,0.0,4.0,0.0,0.05,0.0,11.0,0.0,0.015943501988340228,0.00020004629297134884,-0.23461032624835604,0.04739844360760035,-0.01388888888888884,0.039283710065919485,0.0,0.0,0.0,0.0,-0.059293749999999985,0.0,1.0,nan,0.08
